dataset,scenario,data_seed,split_seed,model,rank,edge,order,is_true_edge
dry_bean_uci,dry_bean_uci,157,157,L1-full,289,3-10-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,290,4-12-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,291,1-5-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,292,8-11-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,293,3-5-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,294,2-7-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,295,3-8,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,296,2-13-14,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,297,2-5-11,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,298,7-9,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,299,1-14-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,300,5-9-11,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,301,7-11-12,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,302,7-8,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,303,1-5-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,304,8-14-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,305,0-9-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,306,4-6,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,307,5-12-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,308,7-10-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,309,1-11-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,310,0-4,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,311,0-5-12,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,312,6-10-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,313,5-6-12,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,314,1-12-14,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,315,0-10-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,316,2-11-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,317,5-9-14,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,318,2-4-5,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,319,7-10-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,320,6-13-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,321,6-14-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,322,5-7-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,323,6-11-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,324,0-13-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,325,1-2-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,326,1-7-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,327,0-14-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,328,8-15,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,329,7-14-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,330,0-11-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,331,2-12-14,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,332,1-8-10,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,333,1-11-12,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,334,1-4-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,335,5-8-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,336,1-4-10,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,337,2-10-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,338,1-3-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,339,7-11-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,340,2-9,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,341,0-9,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,342,2-4-10,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,343,0-14,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,344,4-6-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,345,6-14,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,346,0-12-15,3,
